time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.75,-0.4576271186440678,0.2923728813559322,25,1,random_forest
46.95,0.0,-0.2100840336134453,-0.2100840336134453,50,1,random_forest
59.4,0.0,-0.0666666666666666,-0.0666666666666666,75,1,random_forest
34.45,0.5,0.0621468926553672,0.5621468926553672,25,1,LASSO
46.95,0.5,0.3529411764705882,0.8529411764705883,50,1,LASSO
59.4,0.0,0.4,0.4,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.5,0.0621468926553672,0.5621468926553672,25,1,ELASTIC_NET
46.95,0.5,-0.1596638655462184,0.3403361344537815,50,1,ELASTIC_NET
59.4,0.0,0.4666666666666667,0.4666666666666667,75,1,ELASTIC_NET
34.45,0.1666666666666666,-0.3657142857142857,-0.199047619047619,25,2,random_forest
45.3,0.0,-0.3770491803278688,-0.3770491803278688,50,2,random_forest
59.25,0.0,-0.1833333333333333,-0.1833333333333333,75,2,random_forest
34.45,0.3333333333333333,-0.6285714285714286,-0.2952380952380952,25,2,LASSO
45.3,0.0,-0.5327868852459017,-0.5327868852459017,50,2,LASSO
59.25,0.0,-0.45,-0.45,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.3333333333333333,-0.6285714285714286,-0.2952380952380952,25,2,ELASTIC_NET
45.3,0.0,0.1557377049180328,0.1557377049180328,50,2,ELASTIC_NET
59.25,0.0,0.2666666666666666,0.2666666666666666,75,2,ELASTIC_NET
34.4,0.0,-0.3407821229050279,-0.3407821229050279,25,3,random_forest
45.8,0.0,-0.325,-0.325,50,3,random_forest
59.25,0.0,-0.25,-0.25,75,3,random_forest
34.4,0.25,0.0,0.25,25,3,LASSO
45.8,0.5,-0.0416666666666666,0.4583333333333333,50,3,LASSO
59.25,0.0,0.4166666666666667,0.4166666666666667,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.25,-0.0446927374301676,0.2053072625698324,25,3,ELASTIC_NET
45.8,0.0,-0.25,-0.25,50,3,ELASTIC_NET
59.25,0.0,-0.1166666666666666,-0.1166666666666666,75,3,ELASTIC_NET
34.4,0.2,-0.384180790960452,-0.1841807909604519,25,4,random_forest
44.4,,-0.3983739837398374,,50,4,random_forest
58.175,,-0.2622950819672131,,75,4,random_forest
34.4,0.0,0.2033898305084746,0.2033898305084746,25,4,LASSO
44.4,,0.1788617886178861,,50,4,LASSO
58.175,,0.2459016393442623,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,0.0,0.2033898305084746,0.2033898305084746,25,4,ELASTIC_NET
44.4,,0.1626016260162601,,50,4,ELASTIC_NET
58.175,,0.2295081967213114,,75,4,ELASTIC_NET
35.05,0.2,-0.3806818181818182,-0.1806818181818181,25,5,random_forest
45.8,0.0,-0.3471074380165289,-0.3471074380165289,50,5,random_forest
58.5,0.0,-0.25,-0.25,75,5,random_forest
35.05,-0.2,0.7443181818181818,0.5443181818181817,25,5,LASSO
45.8,0.5,0.2231404958677686,0.7231404958677686,50,5,LASSO
58.5,0.0,0.25,0.25,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,-0.2,0.7443181818181818,0.5443181818181817,25,5,ELASTIC_NET
45.8,0.5,0.2231404958677686,0.7231404958677686,50,5,ELASTIC_NET
58.5,0.0,0.25,0.25,75,5,ELASTIC_NET
34.625,0.2,-0.3806818181818182,-0.1806818181818181,25,6,random_forest
45.2,,-0.4132231404958678,,50,6,random_forest
58.975,,-0.2295081967213114,,75,6,random_forest
34.625,0.0,0.1420454545454545,0.1420454545454545,25,6,LASSO
45.2,,0.140495867768595,,50,6,LASSO
58.975,,0.2295081967213114,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.0,0.1988636363636363,0.1988636363636363,25,6,ELASTIC_NET
45.2,,0.2066115702479339,,50,6,ELASTIC_NET
58.975,,0.2950819672131147,,75,6,ELASTIC_NET
34.675,0.25,-0.2542372881355932,-0.0042372881355932,25,7,random_forest
45.2,0.0,-0.2416666666666666,-0.2416666666666666,50,7,random_forest
59.075,,-0.1475409836065573,,75,7,random_forest
34.675,0.25,-0.1581920903954802,0.0918079096045197,25,7,LASSO
45.2,0.0,0.3166666666666666,0.3166666666666666,50,7,LASSO
59.075,,0.4098360655737705,,75,7,LASSO
34.675,0.0,0.0,0.0,25,7,RIDGE
45.2,0.0,0.0,0.0,50,7,RIDGE
59.075,,0.0,,75,7,RIDGE
34.675,0.0,0.2655367231638418,0.2655367231638418,25,7,ELASTIC_NET
45.2,0.0,0.3083333333333333,0.3083333333333333,50,7,ELASTIC_NET
59.075,,0.3934426229508196,,75,7,ELASTIC_NET
34.6,0.0,-0.2569832402234637,-0.2569832402234637,25,8,random_forest
45.3,0.0,-0.3008130081300813,-0.3008130081300813,50,8,random_forest
59.1,0.0,-0.1147540983606557,-0.1147540983606557,75,8,random_forest
34.6,0.25,-0.3966480446927374,-0.1466480446927374,25,8,LASSO
45.3,0.0,-0.4878048780487805,-0.4878048780487805,50,8,LASSO
59.1,0.0,-0.3278688524590163,-0.3278688524590163,75,8,LASSO
34.6,0.0,0.0,0.0,25,8,RIDGE
45.3,0.0,0.0,0.0,50,8,RIDGE
59.1,0.0,0.0,0.0,75,8,RIDGE
34.6,0.25,-0.4078212290502793,-0.1578212290502793,25,8,ELASTIC_NET
45.3,0.0,0.2276422764227642,0.2276422764227642,50,8,ELASTIC_NET
59.1,0.0,0.3114754098360656,0.3114754098360656,75,8,ELASTIC_NET
34.625,0.1666666666666666,-0.4,-0.2333333333333333,25,9,random_forest
